Sector,Variation (Weighted vs Simple Avg),Variance of YoY Growth
Retail REITs,9.54374124583584,3346.074381704611
Automotive Retail,10.817876702809045,1851.347772566169
Oil & Gas Equipment & Services,5.7662435652324895,3363.089155625773
Air Freight & Logistics,9.392141034989878,1814.2312660204545
"Hotels, Resorts & Cruise Lines",18.628085271024386,7336.9011728829155
Oil & Gas Exploration & Production,10.18730029302374,6313.881761727763
Distributors,2.2853584732136856,1534.5003213362745
Investment Banking & Brokerage,4.366955905154155,2435.889840015893
Integrated Oil & Gas,7.441240665947308,14036.861024346135
Packaged Foods & Meats,5.389821614159109,806.7139940768117
Diversified Banks,13.91976545115818,3724.574289309506
Aerospace & Defense,11.199750176702963,4050.1320434014356
Semiconductor Materials & Equipment,13.778389591439288,9454.026315245692
Casinos & Gaming,2.227428770493628,10265.013498409347
Communications Equipment,51.33111278079321,97416.52435262597
Health Care Distributors,9.751318399875966,1340.8180121195114
Movies & Entertainment,29.311613784415627,427424.41803393327
Interactive Media & Services,59.875199928593794,908163.1136474082
Specialty Chemicals,6.470913298373316,2793.7634261198114
Building Products,19.727867536382345,3092.765533067161
Asset Management & Custody Banks,12.055201281804408,2698.6350736247127
Consumer Staples Merchandise Retail,23.521895895590024,4085.274217681113
Systems Software,149.5853283652363,1595936.7895346738
Electrical Components & Equipment,9.60088033945156,7489.154477359443
Industrial Machinery & Supplies & Components,7.106100082384123,1631.425090215001
Broadline Retail,248.17697933005374,9223642.958475709
Construction Machinery & Heavy Transportation Equipment,14.738663572960792,2312.2770919676827
Biotechnology,23.091446900654528,22871.221075598383
Automobile Manufacturers,56.568937313843186,28048.674279873117
Health Care Supplies,7.017186756452791,2981.2073893545758
Passenger Airlines,7.058530701752599,5207.551689607587
Household Products,7.636982714203398,525.5313793960551
"Apparel, Accessories & Luxury Goods",4.860978220629861,3716.9157622337625
Application Software,10.650666090905172,4023.548142181533
Telecom Tower REITs,3.5062394219239916,637.2465630705923
Environmental & Facilities Services,6.74814085264615,990.3216774040318
Semiconductors,27.226459303110108,7301.922339354555
Electric Utilities,5.848280367689046,1049.4078409746132
Internet Services & Infrastructure,2.1991346722983613,666.3247755690023
Electronic Equipment & Instruments,14.124121007056072,2604.2525026831227
Rail Transportation,4.357339194495345,986.7122086581228
Health Care Equipment,6.828189578539639,5794.553308352076
Paper & Plastic Packaging Products & Materials,3.4082342657294187,878.9554203113302
Transaction & Payment Processing Services,12.280746196277427,5543.794468227055
Other Specialty Retail,6.693488951645944,7648.203841914492
Soft Drinks & Non-alcoholic Beverages,8.96119804669007,3825.037040302696
Multi-Family Residential REITs,5.483562967704477,1735.0539224918925
Consumer Finance,11.431862378416087,4345.630897016802
Fertilizers & Agricultural Chemicals,4.466300470725796,2716.983644961927
Personal Care Products,61.34288178959943,40494.94445197676
Life & Health Insurance,7.787982926118121,2667.5145985707054
Oil & Gas Refining & Marketing,6.7450919699168175,2704.4438561617635
Insurance Brokers,4.201275744078003,1104.2490925865498
Health Care Services,10.356951421027253,13106.866926172615
Restaurants,6.8970989037459365,12729.625656378905
Financial Exchanges & Data,4.98455011380489,8383.428681134768
Broadcasting,58.83458519553364,57472.24923220167
Multi-Utilities,14.939113499201055,21107.094323141257
Managed Health Care,31.853444170655347,10752.468337586644
Diversified Support Services,13.039907299384568,1251.0164093802405
Regional Banks,8.4371103768132,4226.617522801791
IT Consulting & Other Services,9.916112303226637,3094.6344638710857
Life Sciences Tools & Services,34.02206264134838,32887.5333126295
Health Care REITs,17.5788644139584,4518.202016647377
Homebuilding,7.529202337724528,2893.050544203261
Property & Casualty Insurance,7.071068234848443,1237.8394351422314
Multi-line Insurance,5.322054190507426,1311.2882084806477
"Technology Hardware, Storage & Peripherals",163.14272029966892,436006.9879954133
Oil & Gas Storage & Transportation,15.01127084658109,4773.702405421871
Pharmaceuticals,24.90112942141767,81932.26481387176
Human Resource & Employment Services,9.953090114382857,2157.815711215678
